,home_V,home_D,home_E,home_GF,home_AVG_GF,home_GS,home_AVG_GS,home_VG,home_DG,home_EG,home_GFG,home_AVG_GFG,home_GSG,home_AVG_GSG,away_V,away_D,away_E,away_GF,away_AVG_GF,away_GS,away_AVG_GS,away_VG,away_DG,away_EG,away_GFG,away_AVG_GFG,away_GSG,away_AVG_GSG,h_buildUpPlaySpeed,h_buildUpPlaySpeedClass,h_buildUpPlayDribblingClass,h_buildUpPlayPassing,h_buildUpPlayPassingClass,h_buildUpPlayPositioningClass,h_chanceCreationPassing,h_chanceCreationPassingClass,h_chanceCreationCrossing,h_chanceCreationCrossingClass,h_chanceCreationShooting,h_chanceCreationShootingClass,h_chanceCreationPositioningClass,h_defencePressure,h_defencePressureClass,h_defenceAggression,h_defenceAggressionClass,h_defenceTeamWidth,h_defenceTeamWidthClass,h_defenceDefenderLineClass,a_buildUpPlaySpeed,a_buildUpPlaySpeedClass,a_buildUpPlayDribblingClass,a_buildUpPlayPassing,a_buildUpPlayPassingClass,a_buildUpPlayPositioningClass,a_chanceCreationPassing,a_chanceCreationPassingClass,a_chanceCreationCrossing,a_chanceCreationCrossingClass,a_chanceCreationShooting,a_chanceCreationShootingClass,a_chanceCreationPositioningClass,a_defencePressure,a_defencePressureClass,a_defenceAggression,a_defenceAggressionClass,a_defenceTeamWidth,a_defenceTeamWidthClass,a_defenceDefenderLineClass,h_avg_height,h_avg_weight,a_avg_height,a_avg_weight,h_overall,h_potential,h_def,h_mid,h_att,a_overall,a_potential,a_def,a_mid,a_att,h_date,a_date,id,country_id,league_id,season,stage,date,home_team_api_id,away_team_api_id,B365H,B365D,B365A,formation_h,formation_a,Output
0,1,1,0,4,2.0,4,2.0,5,2,2,21,2.33333333333,10,1.11111111111,1,1,1,4,1.33333333333,3,1.0,5,2,2,21,2.33333333333,10,1.11111111111,66,Balanced,Little,30,Short,Free Form,30,Safe,45,Normal,35,Normal,Free Form,30,Deep,40,Press,50,Normal,Cover,58,Balanced,Little,30,Short,Organised,31,Safe,70,Lots,50,Normal,Organised,30,Deep,70,Double,30,Narrow,Cover,180.34,73.6468465455,182.88,78.5126516364,81.0909090909091,86.54545454545455,78.6,80.5,84.5,74.0,78.81818181818181,72.8,75.0,75.0,6 days 00:00:00.000000000,7 days 00:00:00.000000000,2500,1729,1729,2010/2011,10,2010-10-30,9825,8654,1.17,7.0,17.0,4-2-3-1,4-1-4-1,H
0,0,0,2,1,0.5,1,0.5,3,4,2,9,1.0,13,1.44444444444,1,2,0,3,1.0,4,1.33333333333,3,4,2,9,1.0,13,1.44444444444,70,Fast,Little,59,Mixed,Organised,65,Normal,70,Lots,50,Normal,Free Form,30,Deep,70,Double,30,Narrow,Cover,70,Fast,Little,70,Long,Organised,70,Risky,70,Lots,70,Lots,Organised,70,High,70,Double,70,Wide,Cover,182.88,80.4094909091,184.958181818,79.7084850909,77.81818181818181,82.0,79.0,75.5,79.5,76.63636363636364,80.63636363636364,76.2,77.2,76.0,8 days 00:00:00.000000000,8 days 00:00:00.000000000,2501,1729,1729,2010/2011,10,2010-10-31,10252,8658,1.8,3.6,4.5,4-5-1,4-5-1,D
0,1,1,0,2,1.0,1,0.5,2,3,4,9,1.0,8,0.888888888889,1,0,2,3,1.0,1,0.333333333333,2,3,4,9,1.0,8,0.888888888889,60,Balanced,Little,65,Mixed,Organised,60,Normal,70,Lots,45,Normal,Organised,40,Medium,70,Double,40,Normal,Cover,65,Balanced,Little,70,Long,Organised,70,Risky,70,Lots,55,Normal,Organised,35,Medium,70,Double,35,Normal,Cover,180.109090909,76.4921054545,186.805454545,79.7909563636,78.63636363636364,82.63636363636364,78.8,78.5,78.5,74.27272727272727,78.63636363636364,74.4,73.0,76.5,7 days 00:00:00.000000000,6 days 00:00:00.000000000,2502,1729,1729,2010/2011,10,2010-10-30,8668,10194,1.57,3.75,6.5,4-5-1,4-4-2,H
0,0,1,1,3,1.5,4,2.0,3,4,2,14,1.55555555556,13,1.44444444444,2,1,0,4,1.33333333333,3,1.0,3,4,2,14,1.55555555556,13,1.44444444444,70,Fast,Little,60,Mixed,Organised,65,Normal,70,Lots,60,Normal,Organised,45,Medium,65,Press,45,Normal,Cover,60,Balanced,Little,70,Long,Organised,70,Risky,70,Lots,55,Normal,Organised,35,Medium,70,Double,35,Normal,Cover,185.189090909,81.9352094545,183.341818182,77.9353527273,73.0,78.72727272727273,71.8,75.0,72.0,73.9090909090909,79.27272727272727,73.6,74.0,74.25,8 days 00:00:00.000000000,8 days 00:00:00.000000000,2503,1729,1729,2010/2011,10,2010-10-31,10261,8472,2.2,3.2,3.5,4-4-2,4-2-3-1,H
0,0,1,1,2,1.0,3,1.5,1,5,3,8,0.888888888889,15,1.66666666667,0,3,0,1,0.333333333333,7,2.33333333333,1,5,3,8,0.888888888889,15,1.66666666667,70,Fast,Little,70,Long,Organised,70,Risky,70,Lots,70,Lots,Organised,70,High,70,Double,70,Wide,Cover,70,Fast,Little,60,Mixed,Organised,55,Normal,70,Lots,70,Lots,Organised,45,Medium,55,Press,45,Normal,Cover,183.572727273,81.1517323636,184.958181818,81.8939738182,71.45454545454545,76.36363636363636,70.4,73.0,71.0,81.54545454545455,86.81818181818181,80.4,82.4,83.0,7 days 00:00:00.000000000,6 days 00:00:00.000000000,2504,1729,1729,2010/2011,10,2010-10-30,8602,8456,5.5,3.4,1.73,4-5-1,4-5-1,H
0,0,0,2,1,0.5,1,0.5,2,4,3,8,0.888888888889,10,1.11111111111,1,2,0,3,1.0,4,1.33333333333,2,4,3,8,0.888888888889,10,1.11111111111,55,Balanced,Little,70,Long,Organised,60,Normal,70,Lots,55,Normal,Organised,45,Medium,70,Double,45,Normal,Cover,70,Fast,Little,60,Mixed,Free Form,56,Normal,70,Lots,70,Lots,Free Form,30,Deep,60,Press,35,Normal,Cover,184.727272727,80.9867898182,184.727272727,82.2238589091,75.9090909090909,80.54545454545455,75.8,76.0,76.0,83.9090909090909,87.36363636363636,83.6,82.66666666666667,85.66666666666667,6 days 00:00:00.000000000,7 days 00:00:00.000000000,2505,1729,1729,2010/2011,10,2010-10-30,8655,8455,7.5,4.33,1.44,4-5-1,4-3-3,A
0,0,1,1,1,0.5,2,1.0,1,2,6,10,1.11111111111,11,1.22222222222,0,1,2,3,1.0,4,1.33333333333,1,2,6,10,1.11111111111,11,1.22222222222,60,Balanced,Little,70,Long,Organised,70,Risky,70,Lots,50,Normal,Organised,40,Medium,35,Press,40,Normal,Cover,70,Fast,Little,70,Long,Organised,70,Risky,70,Lots,50,Normal,Organised,35,Medium,70,Double,35,Normal,Cover,183.110909091,79.4198356364,182.187272727,76.657048,76.9090909090909,80.9090909090909,77.6,75.25,78.5,73.0909090909091,79.36363636363636,72.0,73.25,75.5,7 days 00:00:00.000000000,7 days 00:00:00.000000000,2506,1729,1729,2010/2011,10,2010-10-30,9879,8528,1.91,3.4,4.2,4-5-1,4-4-2,H
0,1,0,1,4,2.0,2,1.0,5,0,5,22,2.2,12,1.2,1,0,2,4,1.33333333333,3,1.0,5,0,5,22,2.2,12,1.2,70,Fast,Little,45,Mixed,Organised,45,Normal,70,Lots,65,Normal,Free Form,40,Medium,50,Press,40,Normal,Cover,70,Fast,Little,70,Long,Organised,70,Risky,70,Lots,70,Lots,Organised,70,High,70,Double,70,Wide,Cover,184.958181818,79.4610712727,183.572727273,81.1517323636,81.0909090909091,85.18181818181819,83.4,79.75,78.0,71.45454545454545,76.36363636363636,70.4,73.0,71.0,7 days 00:00:00.000000000,7 days 00:00:00.000000000,2509,1729,1729,2010/2011,11,2010-11-06,10260,8602,1.22,6.0,15.0,4-5-1,4-5-1,H
0,2,1,0,5,1.66666666667,4,1.33333333333,6,2,2,22,2.2,10,1.0,1,1,0,3,1.5,2,1.0,6,2,2,22,2.2,10,1.0,66,Balanced,Little,30,Short,Free Form,30,Safe,45,Normal,35,Normal,Free Form,30,Deep,40,Press,50,Normal,Cover,70,Fast,Little,60,Mixed,Organised,65,Normal,70,Lots,60,Normal,Organised,45,Medium,65,Press,45,Normal,Cover,180.109090909,73.028312,185.189090909,81.9352094545,80.27272727272727,86.36363636363636,78.6,79.33333333333333,84.0,73.0,78.72727272727273,71.8,75.0,72.0,8 days 00:00:00.000000000,7 days 00:00:00.000000000,2510,1729,1729,2010/2011,11,2010-11-07,9825,10261,1.29,5.5,11.0,4-3-3,4-4-2,A
0,1,1,1,5,1.66666666667,5,1.66666666667,3,4,3,10,1.0,14,1.4,1,1,0,1,0.5,2,1.0,3,4,3,10,1.0,14,1.4,50,Balanced,Little,35,Mixed,Organised,50,Normal,60,Normal,70,Lots,Organised,40,Medium,60,Press,40,Normal,Cover,70,Fast,Little,60,Mixed,Free Form,56,Normal,70,Lots,70,Lots,Free Form,30,Deep,60,Press,35,Normal,Cover,183.803636364,79.7497207273,184.496363636,80.6156690909,80.18181818181819,84.45454545454545,78.4,81.25,82.5,82.63636363636364,86.45454545454545,83.6,80.66666666666667,83.0,7 days 00:00:00.000000000,8 days 00:00:00.000000000,2511,1729,1729,2010/2011,11,2010-11-07,8650,8455,3.8,3.4,2.0,4-4-2,4-3-3,H
0,1,0,1,1,0.5,0,0.0,2,2,6,9,0.9,12,1.2,0,1,2,3,1.0,7,2.33333333333,2,2,6,9,0.9,12,1.2,60,Balanced,Little,70,Long,Organised,70,Risky,70,Lots,55,Normal,Organised,35,Medium,70,Double,35,Normal,Cover,65,Balanced,Little,70,Long,Organised,70,Risky,70,Lots,55,Normal,Organised,35,Medium,70,Double,35,Normal,Cover,182.649090909,77.8528814545,186.805454545,79.7909563636,73.72727272727273,79.45454545454545,74.6,73.5,72.0,74.27272727272727,78.63636363636364,74.4,73.0,76.5,6 days 00:00:00.000000000,7 days 00:00:00.000000000,2512,1729,1729,2010/2011,11,2010-11-06,8472,10194,2.1,3.2,3.75,4-4-2,4-4-2,H
