,home_V,home_D,home_E,home_GF,home_AVG_GF,home_GS,home_AVG_GS,home_VG,home_DG,home_EG,home_GFG,home_AVG_GFG,home_GSG,home_AVG_GSG,away_V,away_D,away_E,away_GF,away_AVG_GF,away_GS,away_AVG_GS,away_VG,away_DG,away_EG,away_GFG,away_AVG_GFG,away_GSG,away_AVG_GSG,h_buildUpPlaySpeed,h_buildUpPlaySpeedClass,h_buildUpPlayDribblingClass,h_buildUpPlayPassing,h_buildUpPlayPassingClass,h_buildUpPlayPositioningClass,h_chanceCreationPassing,h_chanceCreationPassingClass,h_chanceCreationCrossing,h_chanceCreationCrossingClass,h_chanceCreationShooting,h_chanceCreationShootingClass,h_chanceCreationPositioningClass,h_defencePressure,h_defencePressureClass,h_defenceAggression,h_defenceAggressionClass,h_defenceTeamWidth,h_defenceTeamWidthClass,h_defenceDefenderLineClass,a_buildUpPlaySpeed,a_buildUpPlaySpeedClass,a_buildUpPlayDribblingClass,a_buildUpPlayPassing,a_buildUpPlayPassingClass,a_buildUpPlayPositioningClass,a_chanceCreationPassing,a_chanceCreationPassingClass,a_chanceCreationCrossing,a_chanceCreationCrossingClass,a_chanceCreationShooting,a_chanceCreationShootingClass,a_chanceCreationPositioningClass,a_defencePressure,a_defencePressureClass,a_defenceAggression,a_defenceAggressionClass,a_defenceTeamWidth,a_defenceTeamWidthClass,a_defenceDefenderLineClass,h_avg_height,h_avg_weight,a_avg_height,a_avg_weight,h_overall,h_potential,h_def,h_mid,h_att,a_overall,a_potential,a_def,a_mid,a_att,a_date,h_date,id,country_id,league_id,season,stage,home_team_api_id,away_team_api_id,B365H,B365D,B365A,formation_h,formation_a,Output
0,2,0,0,7,3.5,1,0.5,8,0,1,20,2.22222222222,4,0.444444444444,2,0,1,4,1.33333333333,1,0.333333333333,8,0,1,20,2.22222222222,4,0.444444444444,30,Slow,Little,30,Short,Free Form,60,Normal,60,Normal,60,Normal,Free Form,30,Deep,30,Contain,30,Narrow,Offside Trap,30,Slow,Little,30,Short,Free Form,50,Normal,55,Normal,65,Normal,Free Form,30,Deep,30,Contain,30,Narrow,Offside Trap,181.725454545,77.5229963636,181.725454545,77.1931112727,78.36363636363636,84.54545454545455,77.0,77.66666666666667,81.33333333333333,77.9090909090909,83.27272727272727,78.0,77.5,78.5,9 days 00:00:00.000000000,8 days 00:00:00.000000000,18130,17642,17642,2010/2011,10,9773,9772,1.83,3.5,4.33,4-3-3,4-1-3-2,H
0,1,0,1,2,1.0,1,0.5,4,2,3,9,1.0,7,0.777777777778,1,1,1,3,1.0,4,1.33333333333,4,2,3,9,1.0,7,0.777777777778,30,Slow,Little,30,Short,Organised,55,Normal,60,Normal,55,Normal,Free Form,30,Deep,30,Contain,30,Narrow,Offside Trap,30,Slow,Little,30,Short,Organised,55,Normal,55,Normal,55,Normal,Organised,30,Deep,30,Contain,30,Narrow,Offside Trap,180.109090909,76.5333410909,180.34,76.5333410909,75.36363636363636,80.18181818181819,75.2,73.5,76.5,68.0,72.63636363636364,70.0,67.5,65.75,7 days 00:00:00.000000000,8 days 00:00:00.000000000,18131,17642,17642,2010/2011,10,9768,7844,1.53,3.8,6.5,4-2-3-1,4-2-3-1,A
0,2,0,0,6,3.0,2,1.0,4,3,2,14,1.55555555556,11,1.22222222222,0,2,1,2,0.666666666667,5,1.66666666667,4,3,2,14,1.55555555556,11,1.22222222222,30,Slow,Little,30,Short,Organised,55,Normal,50,Normal,60,Normal,Organised,30,Deep,30,Contain,30,Narrow,Cover,,,,,,,,,,,,,,,,,,,,,181.032727273,75.5024501818,181.725454545,76.0797490909,,,,76.0,73.66666666666667,,,65.2,65.0,,7 days 00:00:00.000000000,8 days 00:00:00.000000000,18133,17642,17642,2010/2011,10,10264,10211,1.5,4.0,7.0,4-3-3,4-1-3-2,A
0,2,0,0,3,1.5,1,0.5,3,3,3,5,0.555555555556,8,0.888888888889,0,2,1,1,0.333333333333,4,1.33333333333,3,3,3,5,0.555555555556,8,0.888888888889,30,Slow,Little,30,Short,Organised,60,Normal,50,Normal,55,Normal,Organised,30,Deep,30,Contain,30,Narrow,Cover,30,Slow,Little,30,Short,Organised,45,Normal,55,Normal,60,Normal,Organised,30,Deep,30,Contain,30,Narrow,Offside Trap,182.649090909,77.7704101818,183.110909091,79.3786,,,67.6,,69.5,68.27272727272727,72.45454545454545,66.8,66.66666666666667,72.33333333333333,6 days 00:00:00.000000000,5 days 00:00:00.000000000,18134,17642,17642,2010/2011,10,10238,7841,2.38,3.0,3.25,4-4-2,4-3-3,D
0,0,0,2,3,1.5,3,1.5,2,2,5,9,1.0,10,1.11111111111,1,2,0,2,0.666666666667,4,1.33333333333,2,2,5,9,1.0,10,1.11111111111,30,Slow,Little,30,Short,Organised,50,Normal,60,Normal,60,Normal,Organised,30,Deep,30,Contain,30,Narrow,Offside Trap,45,Balanced,Little,30,Short,Organised,60,Normal,55,Normal,50,Normal,Organised,30,Deep,30,Contain,30,Narrow,Offside Trap,181.263636364,75.5436858182,180.801818182,76.4096341818,64.36363636363636,69.72727272727273,64.0,65.0,64.5,67.9090909090909,74.18181818181819,68.0,67.0,68.66666666666667,6 days 00:00:00.000000000,8 days 00:00:00.000000000,18135,17642,17642,2010/2011,10,6403,10214,2.4,3.1,3.1,4-2-3-1,4-3-3,A
0,1,1,0,1,0.5,1,0.5,2,6,1,8,0.888888888889,15,1.66666666667,0,3,0,1,0.333333333333,7,2.33333333333,2,6,1,8,0.888888888889,15,1.66666666667,,,,,,,,,,,,,,,,,,,,,30,Slow,Little,30,Short,Organised,50,Normal,60,Normal,55,Normal,Organised,30,Deep,30,Contain,30,Narrow,Offside Trap,179.416363636,74.389088,180.34,76.3683985455,65.27272727272727,71.27272727272727,67.2,57.5,66.75,67.81818181818181,71.0909090909091,67.2,65.66666666666667,71.0,7 days 00:00:00.000000000,5 days 00:00:00.000000000,18137,17642,17642,2010/2011,10,9765,10215,2.9,3.1,2.5,4-2-3-1,4-3-3,D
0,3,0,0,12,4.0,1,0.333333333333,9,0,1,25,2.5,4,0.4,1,0,1,2,1.0,1,0.5,9,0,1,25,2.5,4,0.4,30,Slow,Little,30,Short,Free Form,60,Normal,60,Normal,60,Normal,Free Form,30,Deep,30,Contain,30,Narrow,Offside Trap,,,,,,,,,,,,,,,,,,,,,180.570909091,79.2136574545,179.878181818,74.7189730909,78.0,83.45454545454545,77.6,77.33333333333333,79.33333333333333,65.27272727272727,71.72727272727273,66.0,65.0,64.5,8 days 00:00:00.000000000,7 days 00:00:00.000000000,18138,17642,17642,2010/2011,11,9773,9765,1.14,7.0,19.0,4-3-3,4-2-3-1,H
0,1,0,1,3,1.5,1,0.5,5,2,3,14,1.4,10,1.0,1,2,0,5,1.66666666667,7,2.33333333333,5,2,3,14,1.4,10,1.0,30,Slow,Little,30,Short,Organised,55,Normal,55,Normal,55,Normal,Organised,30,Deep,30,Contain,30,Narrow,Offside Trap,30,Slow,Little,30,Short,Organised,55,Normal,50,Normal,60,Normal,Organised,30,Deep,30,Contain,30,Narrow,Cover,179.878181818,75.7086283636,180.570909091,74.9251512727,68.45454545454545,72.9090909090909,70.0,68.5,64.5,73.81818181818181,76.72727272727273,73.4,74.66666666666667,73.66666666666667,6 days 00:00:00.000000000,5 days 00:00:00.000000000,18140,17642,17642,2010/2011,11,7844,10264,2.5,3.2,2.8,4-1-3-2,4-3-3,H
0,2,0,0,4,2.0,1,0.5,5,4,1,12,1.2,12,1.2,1,1,1,3,1.0,3,1.0,5,4,1,12,1.2,12,1.2,45,Balanced,Little,30,Short,Organised,60,Normal,55,Normal,50,Normal,Organised,30,Deep,30,Contain,30,Narrow,Offside Trap,30,Slow,Little,30,Short,Organised,55,Normal,50,Normal,65,Normal,Organised,30,Deep,30,Contain,30,Narrow,Offside Trap,180.801818182,76.4096341818,181.032727273,76.3271629091,67.9090909090909,74.18181818181819,68.0,67.0,68.66666666666667,,,,69.0,,5 days 00:00:00.000000000,6 days 00:00:00.000000000,18143,17642,17642,2010/2011,11,10214,10212,2.25,3.2,3.25,4-3-3,4-2-3-1,D
0,2,1,0,5,1.66666666667,3,1.0,4,3,3,17,1.7,13,1.3,0,1,1,3,1.5,4,2.0,4,3,3,17,1.7,13,1.3,30,Slow,Little,30,Short,Organised,50,Normal,60,Normal,55,Normal,Organised,30,Deep,30,Contain,30,Narrow,Offside Trap,30,Slow,Little,30,Short,Organised,55,Normal,60,Normal,55,Normal,Free Form,30,Deep,30,Contain,30,Narrow,Offside Trap,180.34,76.3683985455,180.109090909,77.3168181818,67.81818181818181,71.0909090909091,67.2,65.66666666666667,71.0,75.54545454545455,80.45454545454545,76.0,72.5,76.5,5 days 00:00:00.000000000,7 days 00:00:00.000000000,18144,17642,17642,2010/2011,11,10215,9768,3.4,3.2,2.15,4-3-3,4-2-3-1,A
