,home_V,home_D,home_E,home_GF,home_AVG_GF,home_GS,home_AVG_GS,home_VG,home_DG,home_EG,home_GFG,home_AVG_GFG,home_GSG,home_AVG_GSG,away_V,away_D,away_E,away_GF,away_AVG_GF,away_GS,away_AVG_GS,away_VG,away_DG,away_EG,away_GFG,away_AVG_GFG,away_GSG,away_AVG_GSG,h_buildUpPlaySpeed,h_buildUpPlaySpeedClass,h_buildUpPlayDribblingClass,h_buildUpPlayPassing,h_buildUpPlayPassingClass,h_buildUpPlayPositioningClass,h_chanceCreationPassing,h_chanceCreationPassingClass,h_chanceCreationCrossing,h_chanceCreationCrossingClass,h_chanceCreationShooting,h_chanceCreationShootingClass,h_chanceCreationPositioningClass,h_defencePressure,h_defencePressureClass,h_defenceAggression,h_defenceAggressionClass,h_defenceTeamWidth,h_defenceTeamWidthClass,h_defenceDefenderLineClass,a_buildUpPlaySpeed,a_buildUpPlaySpeedClass,a_buildUpPlayDribblingClass,a_buildUpPlayPassing,a_buildUpPlayPassingClass,a_buildUpPlayPositioningClass,a_chanceCreationPassing,a_chanceCreationPassingClass,a_chanceCreationCrossing,a_chanceCreationCrossingClass,a_chanceCreationShooting,a_chanceCreationShootingClass,a_chanceCreationPositioningClass,a_defencePressure,a_defencePressureClass,a_defenceAggression,a_defenceAggressionClass,a_defenceTeamWidth,a_defenceTeamWidthClass,a_defenceDefenderLineClass,h_avg_height,h_avg_weight,a_avg_height,a_avg_weight,h_overall,h_potential,h_def,h_mid,h_att,a_overall,a_potential,a_def,a_mid,a_att,h_date,a_date,id,country_id,league_id,season,stage,home_team_api_id,away_team_api_id,B365H,B365D,B365A,formation_h,formation_a,Output
0,1,1,0,4,2.0,2,1.0,3,3,3,8,0.888888888889,8,0.888888888889,1,1,1,2,0.666666666667,3,1.0,3,3,3,8,0.888888888889,8,0.888888888889,65,Balanced,Little,40,Mixed,Free Form,65,Normal,70,Lots,70,Lots,Free Form,70,High,40,Press,65,Normal,Cover,50,Balanced,Little,30,Short,Organised,30,Safe,70,Lots,60,Normal,Organised,55,Medium,50,Press,50,Normal,Cover,181.956363636,77.6054676364,184.496363636,77.4405250909,79.9090909090909,83.9090909090909,80.2,79.0,80.0,69.0909090909091,75.0,67.2,70.4,72.0,7 days 00:00:00.000000000,6 days 00:00:00.000000000,8430,7809,7809,2010/2011,10,9823,8358,1.29,5.0,11.0,4-2-3-1,4-1-4-1,H
0,0,0,2,4,2.0,4,2.0,1,5,3,10,1.11111111111,16,1.77777777778,1,1,1,3,1.0,3,1.0,1,5,3,10,1.11111111111,16,1.77777777778,65,Balanced,Little,55,Mixed,Organised,55,Normal,70,Lots,70,Lots,Organised,70,High,45,Press,70,Wide,Cover,70,Fast,Little,30,Short,Organised,70,Risky,70,Lots,70,Lots,Organised,70,High,60,Press,70,Wide,Cover,182.88,78.925008,185.42,80.8630829091,77.9090909090909,83.0909090909091,77.2,77.66666666666667,79.33333333333333,77.0909090909091,82.54545454545455,76.8,76.5,79.0,7 days 00:00:00.000000000,6 days 00:00:00.000000000,8431,7809,7809,2010/2011,10,10189,8178,2.5,3.3,2.75,4-1-3-2,4-4-2,A
0,2,0,0,5,2.5,3,1.5,4,3,2,17,1.88888888889,18,2.0,1,1,1,7,2.33333333333,7,2.33333333333,4,3,2,17,1.88888888889,18,2.0,70,Fast,Little,40,Mixed,Organised,70,Risky,40,Normal,70,Lots,Organised,70,High,65,Press,70,Wide,Cover,45,Balanced,Little,50,Mixed,Organised,40,Normal,70,Lots,70,Lots,Organised,55,Medium,55,Press,40,Normal,Cover,184.958181818,81.4403818182,182.187272727,80.9043185455,76.81818181818181,82.54545454545455,74.6,77.5,79.25,70.63636363636364,79.0,72.2,70.5,68.75,7 days 00:00:00.000000000,7 days 00:00:00.000000000,8432,7809,7809,2010/2011,10,8697,8165,1.5,4.33,6.0,4-2-3-1,4-2-3-1,A
0,1,1,0,4,2.0,4,2.0,3,5,1,15,1.66666666667,16,1.77777777778,1,1,1,5,1.66666666667,4,1.33333333333,3,5,1,15,1.66666666667,16,1.77777777778,65,Balanced,Little,45,Mixed,Organised,65,Normal,60,Normal,70,Lots,Organised,45,Medium,60,Press,50,Normal,Cover,70,Fast,Little,30,Short,Organised,60,Normal,70,Lots,70,Lots,Organised,65,Medium,50,Press,60,Normal,Cover,182.418181818,78.5951229091,183.110909091,78.7600654545,77.45454545454545,82.9090909090909,74.8,77.0,82.33333333333333,75.0909090909091,80.36363636363636,74.4,75.0,79.0,7 days 00:00:00.000000000,6 days 00:00:00.000000000,8433,7809,7809,2010/2011,10,8721,10269,2.1,3.4,3.4,4-1-3-2,4-1-4-1,H
0,2,1,0,6,2.0,3,1.0,8,1,0,19,2.11111111111,8,0.888888888889,2,0,0,3,1.5,1,0.5,8,1,0,19,2.11111111111,8,0.888888888889,45,Balanced,Little,40,Mixed,Organised,45,Normal,70,Lots,70,Lots,Organised,50,Medium,70,Double,50,Normal,Cover,70,Fast,Little,45,Mixed,Organised,70,Risky,34,Normal,66,Normal,Free Form,54,Medium,70,Double,53,Normal,Offside Trap,185.189090909,81.3991461818,184.034545455,79.0899505455,70.81818181818181,76.36363636363636,70.6,70.33333333333333,71.66666666666667,75.72727272727273,82.63636363636364,76.0,77.0,74.75,7 days 00:00:00.000000000,7 days 00:00:00.000000000,8434,7809,7809,2010/2011,10,9905,9789,2.75,3.3,2.5,4-3-1-2,4-2-3-1,A
0,1,1,0,4,2.0,4,2.0,4,2,3,17,1.88888888889,13,1.44444444444,0,1,2,4,1.33333333333,6,2.0,4,2,3,17,1.88888888889,13,1.44444444444,70,Fast,Little,30,Short,Organised,70,Risky,55,Normal,55,Normal,Organised,65,Medium,70,Double,65,Normal,Offside Trap,55,Balanced,Little,70,Long,Organised,65,Normal,45,Normal,65,Normal,Organised,70,High,70,Double,70,Wide,Cover,185.650909091,80.7806116364,179.878181818,76.7807549091,74.0909090909091,80.81818181818181,75.0,73.25,73.5,71.9090909090909,76.63636363636364,72.6,69.25,75.5,7 days 00:00:00.000000000,8 days 00:00:00.000000000,8435,7809,7809,2010/2011,10,8226,9904,1.62,3.7,5.5,4-4-2,4-4-2,H
0,0,1,1,2,1.0,3,1.5,1,6,2,9,1.0,17,1.88888888889,0,3,0,3,1.0,7,2.33333333333,1,6,2,9,1.0,17,1.88888888889,55,Balanced,Little,65,Mixed,Organised,65,Normal,40,Normal,60,Normal,Organised,45,Medium,55,Press,70,Wide,Cover,70,Fast,Little,60,Mixed,Organised,70,Risky,60,Normal,70,Lots,Organised,70,High,45,Press,60,Normal,Cover,184.727272727,78.5538872727,182.187272727,77.564232,71.72727272727273,76.54545454545455,71.6,70.5,72.5,76.0,81.45454545454545,76.4,77.5,74.75,7 days 00:00:00.000000000,8 days 00:00:00.000000000,8436,7809,7809,2010/2011,10,8722,9790,3.7,3.4,2.0,4-2-3-1,4-2-3-1,H
0,1,1,0,4,2.0,5,2.5,4,4,1,11,1.22222222222,12,1.33333333333,2,1,0,3,1.0,3,1.0,4,4,1,11,1.22222222222,12,1.33333333333,60,Balanced,Little,60,Mixed,Organised,50,Normal,70,Lots,70,Lots,Organised,60,Medium,70,Double,55,Normal,Cover,60,Balanced,Little,35,Mixed,Organised,35,Normal,70,Lots,60,Normal,Organised,65,Medium,30,Contain,45,Normal,Cover,184.958181818,82.3063301818,182.418181818,78.5951229091,69.0909090909091,74.18181818181819,68.0,69.5,70.25,73.27272727272727,76.81818181818181,71.8,72.5,75.5,6 days 00:00:00.000000000,7 days 00:00:00.000000000,8438,7809,7809,2010/2011,10,8152,9810,2.5,3.25,2.8,4-2-3-1,4-2-3-1,A
0,0,1,2,4,1.33333333333,5,1.66666666667,1,6,3,10,1.0,17,1.7,0,1,1,1,0.5,2,1.0,1,6,3,10,1.0,17,1.7,65,Balanced,Little,55,Mixed,Organised,55,Normal,70,Lots,70,Lots,Organised,70,High,45,Press,70,Wide,Cover,60,Balanced,Little,60,Mixed,Organised,50,Normal,70,Lots,70,Lots,Organised,60,Medium,70,Double,55,Normal,Cover,183.572727273,79.9146632727,184.496363636,80.3270196364,77.54545454545455,82.9090909090909,77.2,76.33333333333333,79.33333333333333,69.72727272727273,75.81818181818181,69.4,69.5,70.25,6 days 00:00:00.000000000,6 days 00:00:00.000000000,8439,7809,7809,2010/2011,11,10189,8152,1.7,3.6,5.0,4-3-3,4-2-3-1,H
0,0,1,1,2,1.0,3,1.5,5,2,3,19,1.9,15,1.5,3,0,0,8,2.66666666667,3,1.0,5,2,3,19,1.9,15,1.5,70,Fast,Little,30,Short,Organised,70,Risky,70,Lots,70,Lots,Organised,70,High,60,Press,70,Wide,Cover,45,Balanced,Little,55,Mixed,Organised,45,Normal,70,Lots,70,Lots,Organised,70,High,70,Double,70,Wide,Cover,185.42,80.8630829091,183.572727273,80.1620770909,77.45454545454545,82.54545454545455,76.8,79.0,77.5,68.9090909090909,75.63636363636364,69.0,68.66666666666667,69.0,8 days 00:00:00.000000000,8 days 00:00:00.000000000,8440,7809,7809,2010/2011,11,8178,8350,1.44,4.5,6.5,4-2-3-1,4-1-3-2,H
