,home_V,home_D,home_E,home_GF,home_AVG_GF,home_GS,home_AVG_GS,home_VG,home_DG,home_EG,home_GFG,home_AVG_GFG,home_GSG,home_AVG_GSG,away_V,away_D,away_E,away_GF,away_AVG_GF,away_GS,away_AVG_GS,away_VG,away_DG,away_EG,away_GFG,away_AVG_GFG,away_GSG,away_AVG_GSG,h_buildUpPlaySpeed,h_buildUpPlaySpeedClass,h_buildUpPlayDribblingClass,h_buildUpPlayPassing,h_buildUpPlayPassingClass,h_buildUpPlayPositioningClass,h_chanceCreationPassing,h_chanceCreationPassingClass,h_chanceCreationCrossing,h_chanceCreationCrossingClass,h_chanceCreationShooting,h_chanceCreationShootingClass,h_chanceCreationPositioningClass,h_defencePressure,h_defencePressureClass,h_defenceAggression,h_defenceAggressionClass,h_defenceTeamWidth,h_defenceTeamWidthClass,h_defenceDefenderLineClass,a_buildUpPlaySpeed,a_buildUpPlaySpeedClass,a_buildUpPlayDribblingClass,a_buildUpPlayPassing,a_buildUpPlayPassingClass,a_buildUpPlayPositioningClass,a_chanceCreationPassing,a_chanceCreationPassingClass,a_chanceCreationCrossing,a_chanceCreationCrossingClass,a_chanceCreationShooting,a_chanceCreationShootingClass,a_chanceCreationPositioningClass,a_defencePressure,a_defencePressureClass,a_defenceAggression,a_defenceAggressionClass,a_defenceTeamWidth,a_defenceTeamWidthClass,a_defenceDefenderLineClass,h_avg_height,h_avg_weight,a_avg_height,a_avg_weight,h_overall,h_potential,h_def,h_mid,h_att,a_overall,a_potential,a_def,a_mid,a_att,h_date,a_date,id,country_id,league_id,season,stage,date,home_team_api_id,away_team_api_id,B365H,B365D,B365A,formation_h,formation_a,Output
0,1.0,0.0,1.0,5.0,2.5,4.0,2.0,4.0,0.0,5.0,20.0,2.22222222222,12.0,1.33333333333,1.0,0.0,2.0,4.0,1.33333333333,3.0,1.0,4.0,0.0,5.0,20.0,2.22222222222,12.0,1.33333333333,70.0,Fast,Little,45.0,Mixed,Organised,45.0,Normal,70.0,Lots,65.0,Normal,Free Form,40.0,Medium,50.0,Press,40.0,Normal,Cover,70.0,Fast,Little,50.0,Mixed,Organised,50.0,Normal,65.0,Normal,50.0,Normal,Organised,50.0,Medium,50.0,Press,50.0,Normal,Cover,183.572727273,76.4508698182,180.109090909,74.4715592727,,,,80.75,80.5,79.81818181818181,83.54545454545455,78.8,80.5,81.0,6 days 00:00:00.000000000,7 days 00:00:00.000000000,2499,1729,1729,2010/2011,10,2010-10-30,10260,8586,1.57,4.0,6.0,4-4-2,4-5-1,H
0,1.0,1.0,0.0,4.0,2.0,4.0,2.0,5.0,2.0,2.0,21.0,2.33333333333,10.0,1.11111111111,1.0,1.0,1.0,4.0,1.33333333333,3.0,1.0,5.0,2.0,2.0,21.0,2.33333333333,10.0,1.11111111111,66.0,Balanced,Little,30.0,Short,Free Form,30.0,Safe,45.0,Normal,35.0,Normal,Free Form,30.0,Deep,40.0,Press,50.0,Normal,Cover,58.0,Balanced,Little,30.0,Short,Organised,31.0,Safe,70.0,Lots,50.0,Normal,Organised,30.0,Deep,70.0,Double,30.0,Narrow,Cover,180.34,73.6468465455,182.88,78.5126516364,81.0909090909091,86.54545454545455,78.6,80.5,84.5,74.0,78.81818181818181,72.8,75.0,75.0,6 days 00:00:00.000000000,7 days 00:00:00.000000000,2500,1729,1729,2010/2011,10,2010-10-30,9825,8654,1.17,7.0,17.0,4-2-3-1,4-1-4-1,H
0,0.0,0.0,2.0,1.0,0.5,1.0,0.5,3.0,4.0,2.0,9.0,1.0,13.0,1.44444444444,1.0,2.0,0.0,3.0,1.0,4.0,1.33333333333,3.0,4.0,2.0,9.0,1.0,13.0,1.44444444444,70.0,Fast,Little,59.0,Mixed,Organised,65.0,Normal,70.0,Lots,50.0,Normal,Free Form,30.0,Deep,70.0,Double,30.0,Narrow,Cover,70.0,Fast,Little,70.0,Long,Organised,70.0,Risky,70.0,Lots,70.0,Lots,Organised,70.0,High,70.0,Double,70.0,Wide,Cover,182.88,80.4094909091,184.958181818,79.7084850909,77.81818181818181,82.0,79.0,75.5,79.5,76.63636363636364,80.63636363636364,76.2,77.2,76.0,8 days 00:00:00.000000000,8 days 00:00:00.000000000,2501,1729,1729,2010/2011,10,2010-10-31,10252,8658,1.8,3.6,4.5,4-5-1,4-5-1,D
0,1.0,1.0,0.0,2.0,1.0,1.0,0.5,2.0,3.0,4.0,9.0,1.0,8.0,0.888888888889,1.0,0.0,2.0,3.0,1.0,1.0,0.333333333333,2.0,3.0,4.0,9.0,1.0,8.0,0.888888888889,60.0,Balanced,Little,65.0,Mixed,Organised,60.0,Normal,70.0,Lots,45.0,Normal,Organised,40.0,Medium,70.0,Double,40.0,Normal,Cover,65.0,Balanced,Little,70.0,Long,Organised,70.0,Risky,70.0,Lots,55.0,Normal,Organised,35.0,Medium,70.0,Double,35.0,Normal,Cover,180.109090909,76.4921054545,186.805454545,79.7909563636,78.63636363636364,82.63636363636364,78.8,78.5,78.5,74.27272727272727,78.63636363636364,74.4,73.0,76.5,7 days 00:00:00.000000000,6 days 00:00:00.000000000,2502,1729,1729,2010/2011,10,2010-10-30,8668,10194,1.57,3.75,6.5,4-5-1,4-4-2,H
0,0.0,1.0,1.0,3.0,1.5,4.0,2.0,3.0,4.0,2.0,14.0,1.55555555556,13.0,1.44444444444,2.0,1.0,0.0,4.0,1.33333333333,3.0,1.0,3.0,4.0,2.0,14.0,1.55555555556,13.0,1.44444444444,70.0,Fast,Little,60.0,Mixed,Organised,65.0,Normal,70.0,Lots,60.0,Normal,Organised,45.0,Medium,65.0,Press,45.0,Normal,Cover,60.0,Balanced,Little,70.0,Long,Organised,70.0,Risky,70.0,Lots,55.0,Normal,Organised,35.0,Medium,70.0,Double,35.0,Normal,Cover,185.189090909,81.9352094545,183.341818182,77.9353527273,73.0,78.72727272727273,71.8,75.0,72.0,73.9090909090909,79.27272727272727,73.6,74.0,74.25,8 days 00:00:00.000000000,8 days 00:00:00.000000000,2503,1729,1729,2010/2011,10,2010-10-31,10261,8472,2.2,3.2,3.5,4-4-2,4-2-3-1,H
0,0.0,1.0,1.0,2.0,1.0,3.0,1.5,1.0,5.0,3.0,8.0,0.888888888889,15.0,1.66666666667,0.0,3.0,0.0,1.0,0.333333333333,7.0,2.33333333333,1.0,5.0,3.0,8.0,0.888888888889,15.0,1.66666666667,70.0,Fast,Little,70.0,Long,Organised,70.0,Risky,70.0,Lots,70.0,Lots,Organised,70.0,High,70.0,Double,70.0,Wide,Cover,70.0,Fast,Little,60.0,Mixed,Organised,55.0,Normal,70.0,Lots,70.0,Lots,Organised,45.0,Medium,55.0,Press,45.0,Normal,Cover,183.572727273,81.1517323636,184.958181818,81.8939738182,71.45454545454545,76.36363636363636,70.4,73.0,71.0,81.54545454545455,86.81818181818181,80.4,82.4,83.0,7 days 00:00:00.000000000,6 days 00:00:00.000000000,2504,1729,1729,2010/2011,10,2010-10-30,8602,8456,5.5,3.4,1.73,4-5-1,4-5-1,H
0,0.0,0.0,2.0,1.0,0.5,1.0,0.5,2.0,4.0,3.0,8.0,0.888888888889,10.0,1.11111111111,1.0,2.0,0.0,3.0,1.0,4.0,1.33333333333,2.0,4.0,3.0,8.0,0.888888888889,10.0,1.11111111111,55.0,Balanced,Little,70.0,Long,Organised,60.0,Normal,70.0,Lots,55.0,Normal,Organised,45.0,Medium,70.0,Double,45.0,Normal,Cover,70.0,Fast,Little,60.0,Mixed,Free Form,56.0,Normal,70.0,Lots,70.0,Lots,Free Form,30.0,Deep,60.0,Press,35.0,Normal,Cover,184.727272727,80.9867898182,184.727272727,82.2238589091,75.9090909090909,80.54545454545455,75.8,76.0,76.0,83.9090909090909,87.36363636363636,83.6,82.66666666666667,85.66666666666667,6 days 00:00:00.000000000,7 days 00:00:00.000000000,2505,1729,1729,2010/2011,10,2010-10-30,8655,8455,7.5,4.33,1.44,4-5-1,4-3-3,A
0,0.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,2.0,6.0,10.0,1.11111111111,11.0,1.22222222222,0.0,1.0,2.0,3.0,1.0,4.0,1.33333333333,1.0,2.0,6.0,10.0,1.11111111111,11.0,1.22222222222,60.0,Balanced,Little,70.0,Long,Organised,70.0,Risky,70.0,Lots,50.0,Normal,Organised,40.0,Medium,35.0,Press,40.0,Normal,Cover,70.0,Fast,Little,70.0,Long,Organised,70.0,Risky,70.0,Lots,50.0,Normal,Organised,35.0,Medium,70.0,Double,35.0,Normal,Cover,183.110909091,79.4198356364,182.187272727,76.657048,76.9090909090909,80.9090909090909,77.6,75.25,78.5,73.0909090909091,79.36363636363636,72.0,73.25,75.5,7 days 00:00:00.000000000,7 days 00:00:00.000000000,2506,1729,1729,2010/2011,10,2010-10-30,9879,8528,1.91,3.4,4.2,4-5-1,4-4-2,H
0,1.0,0.0,1.0,4.0,2.0,3.0,1.5,2.0,1.0,6.0,13.0,1.44444444444,13.0,1.44444444444,0.0,0.0,3.0,3.0,1.0,3.0,1.0,2.0,1.0,6.0,13.0,1.44444444444,13.0,1.44444444444,55.0,Balanced,Little,70.0,Long,Organised,70.0,Risky,70.0,Lots,45.0,Normal,Organised,35.0,Medium,70.0,Double,35.0,Normal,Cover,50.0,Balanced,Little,35.0,Mixed,Organised,50.0,Normal,60.0,Normal,70.0,Lots,Organised,40.0,Medium,60.0,Press,40.0,Normal,Cover,184.034545455,77.5229963636,183.341818182,79.7497207273,,,,75.75,76.5,80.9090909090909,84.81818181818181,80.2,80.6,86.0,8 days 00:00:00.000000000,7 days 00:00:00.000000000,2507,1729,1729,2010/2011,10,2010-10-31,8559,8650,3.4,3.25,2.2,4-4-2,4-1-4-1,A
0,1.0,0.0,1.0,4.0,2.0,2.0,1.0,5.0,0.0,5.0,22.0,2.2,12.0,1.2,1.0,0.0,2.0,4.0,1.33333333333,3.0,1.0,5.0,0.0,5.0,22.0,2.2,12.0,1.2,70.0,Fast,Little,45.0,Mixed,Organised,45.0,Normal,70.0,Lots,65.0,Normal,Free Form,40.0,Medium,50.0,Press,40.0,Normal,Cover,70.0,Fast,Little,70.0,Long,Organised,70.0,Risky,70.0,Lots,70.0,Lots,Organised,70.0,High,70.0,Double,70.0,Wide,Cover,184.958181818,79.4610712727,183.572727273,81.1517323636,81.0909090909091,85.18181818181819,83.4,79.75,78.0,71.45454545454545,76.36363636363636,70.4,73.0,71.0,7 days 00:00:00.000000000,7 days 00:00:00.000000000,2509,1729,1729,2010/2011,11,2010-11-06,10260,8602,1.22,6.0,15.0,4-5-1,4-5-1,H
